序号,中文名,外文名,GitHub仓库,已归档,Star数,Fork数,更新时间,许可证
210,**南京大学**,*Nanjing University*,[:simple-github: ZLCao/<br>NJUBachelor](https://github.com/ZLCao/NJUBachelor),:unlock:,49,21,:material-update: `2019-06-25`, 
211,**上海海事大学**,*Shanghai Maritime University*,[:simple-github: hellckt/<br>SHMTUThesis](https://github.com/hellckt/SHMTUThesis),:unlock:,49,15,:material-update: `2022-05-29`,:material-license: `Apache-2.0`
212,**香港科技大学<br>（香港科技大學）**,*Hong Kong University Of Science And Technology (HUST)*,[:simple-github: onlytailei/<br>HKUST_latex_thesis_2019](https://github.com/onlytailei/HKUST_latex_thesis_2019),:unlock:,49,15,:material-update: `2023-01-02`, 
213,**北京科技大学**,*Beijing University of Science and Technology*,[:simple-github: Jeff-Hugh/<br>USTBThesis](https://github.com/Jeff-Hugh/USTBThesis),:unlock:,49,13,:material-update: `2022-12-01`, 
214,**台湾阳明交通大学<br>（國立陽明交通大學）**,*National Yang Ming Chiao Tung University (NYCU)*,[:simple-github: JingWangTW/<br>NYCU-Thesis-Template](https://github.com/JingWangTW/NYCU-Thesis-Template),:unlock:,49,10,:material-update: `2025-02-23`,:material-license: `GPL-3.0`
215,**北京邮电大学**,*Beijing University of Posts and Telecommunications*,[:simple-github: houluy/<br>bupTemplate](https://github.com/houluy/bupTemplate),:unlock:,49,9,:material-update: `2019-09-19`,:material-license: `GPL-3.0`
216,**杭州电子科技大学**,*Hangzhou University of Electronic Science and Technology*,[:simple-github: myhsia/<br>hduthesis](https://github.com/myhsia/hduthesis),:unlock:,49,1,:material-update: `2025-03-24`, 
217,**湖南大学**,*Hunan University*,[:simple-github: leaf-hsiao/<br>HNUThesisTemplate](https://github.com/leaf-hsiao/HNUThesisTemplate),:unlock:,48,12,:material-update: `2019-12-11`, 
218,**东南大学**,*Southeast University*,[:simple-github: Teddy-van-Jerry/<br>seuthesis2024b](https://github.com/Teddy-van-Jerry/seuthesis2024b),:unlock:,48,3,:material-update: `2024-08-28`,:material-license: `MIT`
219,**天津大学**,*Tianjin University*,[:simple-github: liangzhenduo/<br>TJU-thesis-template](https://github.com/liangzhenduo/TJU-thesis-template),:unlock:,47,15,:material-update: `2020-03-14`, 
220,**江南大学**,*Jiangnan University*,[:simple-github: xen0n/<br>JNUthesis](https://github.com/xen0n/JNUthesis),:unlock:,47,12,:material-update: `2019-06-16`,:material-license: `GPL-2.0`
221,**吉林大学**,*Jilin University*,[:simple-github: x86vk/<br>JLU-CCST-Thesis](https://github.com/x86vk/JLU-CCST-Thesis),:unlock:,47,11,:material-update: `2018-06-10`,:material-license: `MIT`
222,**北京师范大学**,*Beijing Normal University*,[:simple-github: jinyiliu/<br>bnu-thesis-template](https://github.com/jinyiliu/bnu-thesis-template),:card_box:,47,9,:material-update: `2025-03-03`, 
223,**（美国）科罗拉多州立大学**,*Colorado State University*,[:simple-github: idfah/<br>csuthesis](https://github.com/idfah/csuthesis),:unlock:,46,37,:material-update: `2020-05-08`,:material-license: `NOASSERTION`
224,**台湾清华大学<br>（國立清華大學）**,*National Tsing Hua University (NTHU)*,[:simple-github: HW-Lee/<br>nthu-thesis-template](https://github.com/HW-Lee/nthu-thesis-template),:unlock:,46,28,:material-update: `2016-07-26`, 
225,**天津大学**,*Tianjin University*,[:simple-github: jiangqideng/<br>tjuthesis_master_2016](https://github.com/jiangqideng/tjuthesis_master_2016),:unlock:,46,19,:material-update: `2021-10-02`, 
226,**（德国）IU国际应用科学大学**,*IU International University of Applied Sciences*,[:simple-github: markushaug/<br>iu-latex-template](https://github.com/markushaug/iu-latex-template),:unlock:,46,12,:material-update: `2025-02-20`,:material-license: `MIT`
227,**中国海洋大学**,*Ocean University of China*,[:simple-github: OSOUC/<br>UndergraduateThesisLaTeXTemplate](https://github.com/OSOUC/UndergraduateThesisLaTeXTemplate),:unlock:,46,9,:material-update: `2022-05-01`,:material-license: `MIT`
228,**（挪威）特罗姆瑟大学- 挪威北极圈大学**,*UiT The Arctic University of Norway*<br>(Universitetet i Tromsø – Norges arktiske universitet),[:simple-github: egraff/<br>uit-thesis](https://github.com/egraff/uit-thesis),:unlock:,45,46,:material-update: `2025-03-22`,:material-license: `NOASSERTION`
229,**浙江工业大学**,*Zhejiang University of Technology*,[:simple-github: zjutjh/<br>zjutthesis](https://github.com/zjutjh/zjutthesis),:unlock:,45,31,:material-update: `2023-01-30`, 
230,**华东师范大学**,*East China Normal University*,[:simple-github: DeepTrial/<br>ECNU-Dissertations-Latex-Template](https://github.com/DeepTrial/ECNU-Dissertations-Latex-Template),:unlock:,45,16,:material-update: `2021-11-15`,:material-license: `NOASSERTION`
231,**暨南大学**,*Jinan University*,[:simple-github: ytZhou/<br>JNUMasterThesis](https://github.com/ytZhou/JNUMasterThesis),:unlock:,43,15,:material-update: `2023-06-16`, 
232,**中国海洋大学**,*Ocean University of China*,[:simple-github: ouc-ocean-group/<br>oucthesis](https://github.com/ouc-ocean-group/oucthesis),:card_box:,43,12,:material-update: `2022-12-13`, 
233,**西交利物浦大学**,*Xi'an Jiaotong-Liverpool University*,[:simple-github: feimax/<br>latex_template_for_xjtlu_eee](https://github.com/feimax/latex_template_for_xjtlu_eee),:unlock:,42,17,:material-update: `2017-11-27`,:material-license: `GPL-3.0`
234,**（日本）庆应义塾大学**,*Keio University*<br>(慶應義塾),[:simple-github: ymrl/<br>thesis-template](https://github.com/ymrl/thesis-template),:unlock:,42,17,:material-update: `2012-12-20`, 
235,**武汉理工大学**,*Wuhan University of Technology*,[:simple-github: Jiayin-Gu/<br>WUTthesis](https://github.com/Jiayin-Gu/WUTthesis),:unlock:,42,11,:material-update: `2020-11-01`, 
236,**东北大学**,*Northeastern University*,[:simple-github: mervin0502/<br>neuthesis](https://github.com/mervin0502/neuthesis),:unlock:,41,20,:material-update: `2020-09-08`,:material-license: `Apache-2.0`
237,**（德国）达姆施塔特工业大学**,"*Industrial University of Darmstadt*<br>(Technische Universität Darmstadt, TU Darmstadt)",[:simple-github: zemirco/<br>tu-darmstadt-latex-thesis](https://github.com/zemirco/tu-darmstadt-latex-thesis),:unlock:,41,19,:material-update: `2013-03-03`, 
238,**上海大学**,*Shanghai University*,[:simple-github: ahhylau/<br>shuthesis](https://github.com/ahhylau/shuthesis),:unlock:,41,16,:material-update: `2024-01-17`, 
239,**东北大学**,*Northeastern University*,[:simple-github: NEUAI/<br>neuthesis-enhanced](https://github.com/NEUAI/neuthesis-enhanced),:unlock:,41,11,:material-update: `2021-04-24`,:material-license: `Apache-2.0`
240,**（韩国）首尔大学**,"*Seoul National University, SNU*<br>(서울대학교)",[:simple-github: Zeta611/<br>snu-ece-bsc-thesis](https://github.com/Zeta611/snu-ece-bsc-thesis),:unlock:,41,7,:material-update: `2024-07-02`,:material-license: `MIT`
241,**北京航空航天大学**,"*Beihang University (Beijing University of Aeronautics and Astronautics, BUAA)*",[:simple-github: yzd-v/<br>BUAA_thesis_overleaf](https://github.com/yzd-v/BUAA_thesis_overleaf),:unlock:,41,5,:material-update: `2021-12-04`,:material-license: `NOASSERTION`
242,**上海交通大学**,*Shanghai Jiaotong University*,[:simple-github: zhangzhanluo/<br>SJTU-thesis-template](https://github.com/zhangzhanluo/SJTU-thesis-template),:unlock:,41,4,:material-update: `2021-06-01`, 
243,**（新加坡）南洋理工大学**,*Nanyang Technological University (NTU)*,[:simple-github: doem97/<br>NTU-EEE-MSc-Dissertation-Template](https://github.com/doem97/NTU-EEE-MSc-Dissertation-Template),:unlock:,41,3,:material-update: `2022-07-15`, 
244,**苏州大学**,*Soochow University*,[:simple-github: shadowofgost/<br>sudathesis-soochow-university-latex-template](https://github.com/shadowofgost/sudathesis-soochow-university-latex-template),:unlock:,41,3,:material-update: `2025-03-03`,:material-license: `LPPL-1.3c`
245,**重庆邮电大学**,*Chongqing University of Posts and Telecommunications*,[:simple-github: coding-tan/<br>CQUPTtex](https://github.com/coding-tan/CQUPTtex),:unlock:,41,2,:material-update: `2022-07-21`, 
246,**（英国）爱丁堡大学**,*University of Edinburgh*<br>(Oilthigh Dhùn Èideann),[:simple-github: james-d-h/<br>quarto-phd-thesis](https://github.com/james-d-h/quarto-phd-thesis),:unlock:,40,14,:material-update: `2023-05-03`,:material-license: `MIT`
247,**中国科学院自动化研究所**,"*Institute of Automation, Chinese Academy of Sciences*",[:simple-github: phoenix1917/<br>CASIA-Thesis](https://github.com/phoenix1917/CASIA-Thesis),:unlock:,40,12,:material-update: `2018-03-06`, 
248,**（希腊）雅典大学**,"*National and Kapodistrian University of Athens, NKUA*<br>(Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών)",[:simple-github: errikos/<br>dithesis](https://github.com/errikos/dithesis),:unlock:,40,4,:material-update: `2023-08-15`,:material-license: `LPPL-1.3c`
249,**北京化工大学**,*Beijing University of Chemical Technology*,[:simple-github: the-ccsn/<br>BUCTthesis](https://github.com/the-ccsn/BUCTthesis),:unlock:,40,2,:material-update: `2024-07-10`,:material-license: `LPPL-1.3c`
250,**（德国）斯图加特大学**,*University of Stuttgart*<br>(Universität Stuttgart),[:simple-github: latextemplates/<br>uni-stuttgart-dissertation-template](https://github.com/latextemplates/uni-stuttgart-dissertation-template),:unlock:,39,21,:material-update: `2025-03-04`,:material-license: `MIT`
251,**西南财经大学**,*Southwestern University of Finance and Economics*,[:simple-github: sierxue/<br>ThesisSWUFE](https://github.com/sierxue/ThesisSWUFE),:unlock:,39,10,:material-update: `2023-01-01`, 
252,**哈尔滨工程大学**,*Harbin Engineering University*,[:simple-github: Benyjuice/<br>hrbeuthesis](https://github.com/Benyjuice/hrbeuthesis),:unlock:,39,9,:material-update: `2016-03-18`, 
253,**苏州大学**,*Soochow University*,[:simple-github: hinesboy/<br>SUDA-Latex](https://github.com/hinesboy/SUDA-Latex),:unlock:,39,9,:material-update: `2022-05-24`, 
254,**上海交通大学**,*Shanghai Jiaotong University*,[:simple-github: ZepengW/<br>Latex-PG-SJTU](https://github.com/ZepengW/Latex-PG-SJTU),:unlock:,39,0,:material-update: `2023-01-04`, 
255,**北京师范大学**,*Beijing Normal University*,[:simple-github: xysmlx/<br>BNUBachelorThesis](https://github.com/xysmlx/BNUBachelorThesis),:unlock:,38,20,:material-update: `2018-03-19`, 
256,**西南交通大学**,*Southwest Jiaotong University*,[:simple-github: Studio513/<br>swjtuThesis](https://github.com/Studio513/swjtuThesis),:unlock:,38,17,:material-update: `2015-12-08`, 
257,**西南交通大学**,*Southwest Jiaotong University*,[:simple-github: swjtutug/<br>swjtuthesis](https://github.com/swjtutug/swjtuthesis),:unlock:,38,9,:material-update: `2019-12-09`, 
258,**华东师范大学**,*East China Normal University*,[:simple-github: c834606877/<br>ECNU-Paper-Template](https://github.com/c834606877/ECNU-Paper-Template),:unlock:,38,8,:material-update: `2021-12-05`, 
259,**（美国）约翰斯·霍普金斯大学**,*Johns Hopkins University*,[:simple-github: weitzner/<br>jhu-thesis-template](https://github.com/weitzner/jhu-thesis-template),:unlock:,37,86,:material-update: `2018-07-18`, 
260,**台湾清华大学<br>（國立清華大學）**,*National Tsing Hua University (NTHU)*,[:simple-github: signxer/<br>nthu-thesis-template-mod](https://github.com/signxer/nthu-thesis-template-mod),:unlock:,37,17,:material-update: `2018-11-11`, 
261,**华中科技大学**,*Huazhong University of Science*,[:simple-github: pyrocat101/<br>hust-thesis-pandoc](https://github.com/pyrocat101/hust-thesis-pandoc),:unlock:,37,12,:material-update: `2018-11-13`, 
262,**通用模板**,*Common Templates*,[:simple-github: PKief/<br>latex-thesis-template](https://github.com/PKief/latex-thesis-template),:unlock:,37,8,:material-update: `2025-02-07`, 
263,**四川大学**,*Sichuan University*,[:simple-github: dahakawang/<br>scu_thesis_template](https://github.com/dahakawang/scu_thesis_template),:unlock:,37,6,:material-update: `2021-01-08`, 
264,**西安电子科技大学**,*Xidian University*,[:simple-github: Faust-Wang/<br>XDUthesis_xelatex-master-2019](https://github.com/Faust-Wang/XDUthesis_xelatex-master-2019),:unlock:,37,5,:material-update: `2020-04-24`,:material-license: `GPL-3.0`
265,**（德国）柏林工业大学**,*Technical University of Berlin*<br>(Technische Universität Berlin),[:simple-github: holgern/<br>TUB_PhDThesisTemplate](https://github.com/holgern/TUB_PhDThesisTemplate),:unlock:,35,13,:material-update: `2017-11-10`,:material-license: `MIT`
266,**澳门科技大学<br>（澳門科技大學）**,*Macau University of Science and Technology (MUST)*,[:simple-github: iihciyekub/<br>MUST-Thesis](https://github.com/iihciyekub/MUST-Thesis),:unlock:,35,12,:material-update: `2024-04-25`, 
267,**（加拿大）阿尔伯塔大学**,*University of Alberta*,[:simple-github: draldric/<br>uAlberta-Thesis-LaTeX-Template](https://github.com/draldric/uAlberta-Thesis-LaTeX-Template),:unlock:,35,9,:material-update: `2025-02-22`,:material-license: `MIT`
268,**上海工程技术大学**,*Shanghai University of Engineering and Technology*,[:simple-github: MobtgZhang/<br>sues-thesis](https://github.com/MobtgZhang/sues-thesis),:unlock:,35,8,:material-update: `2025-03-17`,:material-license: `MIT`
269,**西南交通大学**,*Southwest Jiaotong University*,[:simple-github: Sophie10001b/<br>swjtuThesisV3.0](https://github.com/Sophie10001b/swjtuThesisV3.0),:unlock:,35,8,:material-update: `2025-03-22`, 
270,**北京工业大学**,*Beijing University of Technology*,[:simple-github: xiaoyaoE/<br>bjutThesis](https://github.com/xiaoyaoE/bjutThesis),:unlock:,35,7,:material-update: `2021-01-14`, 
271,**上海理工大学**,*Shanghai University of Technology*,[:simple-github: FrankSFLYS/<br>usstthesis](https://github.com/FrankSFLYS/usstthesis),:unlock:,35,3,:material-update: `2022-03-07`,:material-license: `Apache-2.0`
272,**南京大学**,*Nanjing University*,[:simple-github: anyirao/<br>NJUThesis2018](https://github.com/anyirao/NJUThesis2018),:unlock:,34,42,:material-update: `2018-06-24`, 
273,**西安交通大学**,*Xi'an Jiaotong University*,[:simple-github: Ming-Zhang-XJTU/<br>XJTU-Thesis-Template](https://github.com/Ming-Zhang-XJTU/XJTU-Thesis-Template),:unlock:,34,16,:material-update: `2017-10-05`, 
274,**兰州大学**,*Lanzhou University*,[:simple-github: mosesnow/<br>LZUthesis](https://github.com/mosesnow/LZUthesis),:unlock:,34,11,:material-update: `2022-04-14`, 
275,**中山大学**,*Sun Yat-sen University*,[:simple-github: guanyingc/<br>SYSU-LaTex-Thesis](https://github.com/guanyingc/SYSU-LaTex-Thesis),:unlock:,34,6,:material-update: `2017-04-03`, 
276,**通用模板**,*Common Templates*,[:simple-github: Pinzauti/<br>LaTeX-thesis-template](https://github.com/Pinzauti/LaTeX-thesis-template),:unlock:,34,4,:material-update: `2024-06-26`,:material-license: `MIT`
277,**（日本）北陆先端科学技术大学院大学**,"*Japan Advanced Institute of Science and Technology*<br>(北陸先端科学技術大学院大学, JAIST)",[:simple-github: linwest/<br>JAISTthesisLaTeX](https://github.com/linwest/JAISTthesisLaTeX),:unlock:,33,23,:material-update: `2019-03-31`, 
278,**浙江大学**,*Zhejiang University*,[:simple-github: DelightRun/<br>ZJUThesis-MPhil](https://github.com/DelightRun/ZJUThesis-MPhil),:unlock:,33,12,:material-update: `2019-01-14`,:material-license: `MIT`
279,**武汉理工大学**,*Wuhan University of Technology*,[:simple-github: mengyuqianxun/<br>WHUT--LaTeX-bachelor-thesis](https://github.com/mengyuqianxun/WHUT--LaTeX-bachelor-thesis),:unlock:,33,5,:material-update: `2020-07-16`, 
280,**南昌大学**,*Nanchang University*,[:simple-github: Jin-bao/<br>NCU-thesis](https://github.com/Jin-bao/NCU-thesis),:unlock:,33,3,:material-update: `2025-03-24`,:material-license: `LPPL-1.3c`
281,**暨南大学**,*Jinan University*,[:simple-github: Latiyas/<br>JNUThesis](https://github.com/Latiyas/JNUThesis),:unlock:,33,3,:material-update: `2025-03-06`, 
282,**北京大学**,*Peking University*,[:simple-github: Thesharing/<br>pkuthss](https://github.com/Thesharing/pkuthss),:unlock:,32,13,:material-update: `2020-04-16`, 
283,**台湾科技大学<br>（國立臺灣科技大學）**,*National Taiwan University of Science and Technology (NTUST)*,[:simple-github: hadziq/<br>ntust-thesis](https://github.com/hadziq/ntust-thesis),:unlock:,32,13,:material-update: `2022-07-30`,:material-license: `Apache-2.0`
284,**（美国）密歇根州立大学**,*Michigan State University*,[:simple-github: amunn/<br>msu-thesis](https://github.com/amunn/msu-thesis),:unlock:,32,12,:material-update: `2024-07-08`, 
285,**（波兰）西里西亚理工大学**,*Silesian University of Technology*<br>(Politechnika Śląska),[:simple-github: ksiminski/<br>polsl-aei-theses](https://github.com/ksiminski/polsl-aei-theses),:unlock:,32,5,:material-update: `2025-01-09`, 
286,**中国科学技术大学**,*University of Science and Technology of China*,[:simple-github: acgotaku/<br>USTC-SSE-THESIS](https://github.com/acgotaku/USTC-SSE-THESIS),:unlock:,32,4,:material-update: `2017-03-04`, 
287,**河海大学**,*Hohai University*,[:simple-github: davyxx3/<br>hhu-thesis-bachelor](https://github.com/davyxx3/hhu-thesis-bachelor),:unlock:,32,1,:material-update: `2024-06-21`,:material-license: `MIT`
288,**复旦大学**,*Fudan University*,[:simple-github: FHDWPB/<br>latex-thesis-template](https://github.com/FHDWPB/latex-thesis-template),:unlock:,30,24,:material-update: `2023-12-08`,:material-license: `Apache-2.0`
289,**香港理工大学<br>（香港理工大學）**,*Hong Kong Polytechnic University (PolyU)*,[:simple-github: quxiaofeng/<br>PolyU_thesis_template](https://github.com/quxiaofeng/PolyU_thesis_template),:unlock:,30,15,:material-update: `2018-09-07`, 
290,**（美国）乔治·华盛顿大学**,*George Washington University (GWU)*,[:simple-github: skulumani/<br>thesis-gwu](https://github.com/skulumani/thesis-gwu),:unlock:,30,15,:material-update: `2022-07-27`,:material-license: `GPL-3.0`
291,**（瑞士）西部应用科学与艺术大学**,"*University of Applied Sciences and Arts of Western Switzerland*<br>(Haute École spécialisée de Suisse occidentale, HES-SO)",[:simple-github: mdemierre/<br>hesso-latextemplate-thesis](https://github.com/mdemierre/hesso-latextemplate-thesis),:unlock:,30,10,:material-update: `2023-09-26`,:material-license: `Apache-2.0`
292,**苏州大学**,*Soochow University*,[:simple-github: huhamhire/<br>sudathesis](https://github.com/huhamhire/sudathesis),:unlock:,30,7,:material-update: `2014-06-25`,:material-license: `GPL-3.0`
293,**西北工业大学**,*Northwestern Polytechnical University*,[:simple-github: lihanshu/<br>NWPU-Thesis-Template](https://github.com/lihanshu/NWPU-Thesis-Template),:unlock:,30,6,:material-update: `2024-04-18`,:material-license: `MIT`
294,**上海对外经贸大学**,*Shanghai University of Foreign Trade and Economic Cooperation*,[:simple-github: Yangruipis/<br>SUIBEthesis](https://github.com/Yangruipis/SUIBEthesis),:unlock:,30,5,:material-update: `2023-12-05`,:material-license: `MIT`
295,**北京工业大学**,*Beijing University of Technology*,[:simple-github: bjut-swift/<br>BJUTLATEX](https://github.com/bjut-swift/BJUTLATEX),:unlock:,30,5,:material-update: `2024-03-25`,:material-license: `Apache-2.0`
296,**湖南大学**,*Hunan University*,[:simple-github: ljmdzyx1985/<br>HNUthesis_master](https://github.com/ljmdzyx1985/HNUthesis_master),:unlock:,30,5,:material-update: `2019-05-29`, 
297,**北京大学**,*Peking University*,[:simple-github: doubleZ0108/<br>pkuthss-mac](https://github.com/doubleZ0108/pkuthss-mac),:unlock:,30,4,:material-update: `2021-12-18`, 
298,**北京大学**,*Peking University*,[:simple-github: qu-tan-um/<br>PKU_EECS_UGR_THSS](https://github.com/qu-tan-um/PKU_EECS_UGR_THSS),:unlock:,29,24,:material-update: `2020-07-04`, 
299,**浙江传媒学院**,*Communication University of Zhejiang*,[:simple-github: xiehao/<br>cuzthesis](https://github.com/xiehao/cuzthesis),:unlock:,29,8,:material-update: `2025-03-12`, 
300,**深圳大学**,*Shenzhen University*,[:simple-github: yichengsu/<br>szuthesis](https://github.com/yichengsu/szuthesis),:unlock:,29,2,:material-update: `2021-02-23`, 
301,**（美国）印第安纳大学**,*Indiana University*,[:simple-github: liang-chen/<br>IU-PhD-Thesis-Template](https://github.com/liang-chen/IU-PhD-Thesis-Template),:unlock:,28,28,:material-update: `2018-05-01`,:material-license: `MIT`
302,**中国科学院大学**,*University of Chinese Academy of Sciences*,[:simple-github: iphyer/<br>UCASThesisTemplete](https://github.com/iphyer/UCASThesisTemplete),:unlock:,28,12,:material-update: `2021-01-16`,:material-license: `MIT`
303,**浙江大学**,*Zhejiang University*,[:simple-github: eclipselu/<br>zjuthesis-mphil](https://github.com/eclipselu/zjuthesis-mphil),:unlock:,28,9,:material-update: `2017-01-16`, 
304,**（新加坡）新加坡国立大学**,*National University of Singapore (NUS)*,[:simple-github: saurabhg17/<br>SPhdThesis](https://github.com/saurabhg17/SPhdThesis),:unlock:,28,8,:material-update: `2014-06-20`,:material-license: `NOASSERTION`
305,**台湾中正大学<br>（國立中正大學）**,*National Chung Cheng University (CCU)*,[:simple-github: anlit75/<br>CCU-Thesis-LaTeX-Template](https://github.com/anlit75/CCU-Thesis-LaTeX-Template),:unlock:,28,7,:material-update: `2025-01-25`,:material-license: `MIT`
306,**香港中文大学<br>（香港中文大學）**,*Chinese University of Hong Kong (CUHK)*,[:simple-github: Cysu/<br>phd-thesis](https://github.com/Cysu/phd-thesis),:unlock:,28,6,:material-update: `2017-08-29`, 
307,**西南石油大学**,*Southwest Petroleum University*,[:simple-github: jinggqu/<br>swputhesis](https://github.com/jinggqu/swputhesis),:unlock:,28,6,:material-update: `2023-09-07`,:material-license: `GPL-3.0`
308,**通用模板**,*Common Templates*,[:simple-github: pddg/<br>latex-template-ja](https://github.com/pddg/latex-template-ja),:unlock:,28,6,:material-update: `2023-04-01`,:material-license: `CC0-1.0`
309,**中国石油大学（华东）**,*China University of Petroleum (East China)*,[:simple-github: walkman-z/<br>upc-thesis-2020](https://github.com/walkman-z/upc-thesis-2020),:unlock:,28,5,:material-update: `2020-08-16`,:material-license: `MIT`
310,**华中师范大学**,*Central China Normal University*,[:simple-github: xkwxdyy/<br>CCNUthesis](https://github.com/xkwxdyy/CCNUthesis),:unlock:,28,4,:material-update: `2025-02-08`,:material-license: `LPPL-1.3c`
311,**华南理工大学**,*South China University of Technology*,[:simple-github: yecfly/<br>scut-thesis](https://github.com/yecfly/scut-thesis),:unlock:,28,4,:material-update: `2021-03-15`, 
312,**中国传媒大学**,*Communication University of China*,[:simple-github: YunYouJun/<br>cucthesis](https://github.com/YunYouJun/cucthesis),:unlock:,28,2,:material-update: `2024-06-14`,:material-license: `LPPL-1.3c`
313,**南京信息工程大学**,*Nanjing University of Information Engineering*,[:simple-github: hy5468/<br>NUIST-LaTeX](https://github.com/hy5468/NUIST-LaTeX),:unlock:,28,2,:material-update: `2021-04-10`,:material-license: `MIT`
314,**中国农业大学**,*China Agricultural University*,[:simple-github: Cdmium/<br>CAUTemplate](https://github.com/Cdmium/CAUTemplate),:unlock:,27,13,:material-update: `2020-08-06`, 
315,**天津大学**,*Tianjin University*,[:simple-github: HeliosZhao/<br>TJU-Thesis-2020](https://github.com/HeliosZhao/TJU-Thesis-2020),:unlock:,27,9,:material-update: `2020-05-12`, 
316,**长安大学**,*Chang'an University*,[:simple-github: xiaoleeza/<br>chdthesis](https://github.com/xiaoleeza/chdthesis),:unlock:,27,9,:material-update: `2021-05-24`,:material-license: `LPPL-1.3c`
317,**深圳技术大学**,*Shenzhen University of Technology*,[:simple-github: SZTU-ACM/<br>SZTU-Thesis-Latex-Template](https://github.com/SZTU-ACM/SZTU-Thesis-Latex-Template),:unlock:,27,8,:material-update: `2024-05-20`,:material-license: `GPL-3.0`
318,**华东师范大学**,*East China Normal University*,[:simple-github: ddusen/<br>ecnu-master-thesis-template](https://github.com/ddusen/ecnu-master-thesis-template),:unlock:,27,3,:material-update: `2023-02-23`,:material-license: `Apache-2.0`
319,**通用模板**,*Common Templates*,[:simple-github: viafanasyev/<br>bachelor-thesis-template](https://github.com/viafanasyev/bachelor-thesis-template),:unlock:,27,2,:material-update: `2023-01-15`,:material-license: `MIT`
320,**杭州电子科技大学**,*Hangzhou University of Electronic Science and Technology*,[:simple-github: LeoAlex0/<br>LaTeX-HDU-Bachelor-Thesis](https://github.com/LeoAlex0/LaTeX-HDU-Bachelor-Thesis),:unlock:,27,1,:material-update: `2021-05-17`,:material-license: `MIT`
321,**（瑞士）苏黎世应用科技大学**,*Zurich University of Applied Sciences (ZHAW)*<br>(ZHAW Zürcher Hochschule für Angewandte Wissenschaften),[:simple-github: matteodelucchi/<br>ZHAW_thesis-template](https://github.com/matteodelucchi/ZHAW_thesis-template),:unlock:,26,73,:material-update: `2024-10-28`, 
322,**中国科学院大学**,*University of Chinese Academy of Sciences*,[:simple-github: wuzhouhui/<br>ucas_ict_thesis](https://github.com/wuzhouhui/ucas_ict_thesis),:unlock:,26,12,:material-update: `2017-04-26`, 
323,**通用模板**,*Common Templates*,[:simple-github: davidptclark/<br>phd-thesis-template](https://github.com/davidptclark/phd-thesis-template),:unlock:,26,11,:material-update: `2022-02-19`,:material-license: `LPPL-1.3c`
324,**华东师范大学**,*East China Normal University*,[:simple-github: Baileyswu/<br>ECNU-thesis-template](https://github.com/Baileyswu/ECNU-thesis-template),:unlock:,26,10,:material-update: `2023-07-16`,:material-license: `NOASSERTION`
325,**（葡萄牙） 里斯本高等理工学院**,"*Instituto Superior Técnico*<br>(Instituto Superior Técnico, IST)",[:simple-github: themiguelamador/<br>ThesisIST](https://github.com/themiguelamador/ThesisIST),:unlock:,26,8,:material-update: `2023-06-16`, 
326,**（德国）慕尼黑工业大学**,*Technical University of Munich*<br>(Technische Universität München),[:simple-github: MichaelGrupp/<br>TTT](https://github.com/MichaelGrupp/TTT),:unlock:,26,7,:material-update: `2017-11-26`,:material-license: `WTFPL`
327,**杭州电子科技大学**,*Hangzhou University of Electronic Science and Technology*,[:simple-github: m13253/<br>LaTeX-HDU-Bachelor-Thesis](https://github.com/m13253/LaTeX-HDU-Bachelor-Thesis),:unlock:,26,7,:material-update: `2020-01-06`,:material-license: `MIT`
328,**（奥地利）约翰内斯·开普勒大学**,"*Johannes Kepler University Linz, JKU*<br>(Johannes Kepler Universität Linz)",[:simple-github: michaelroland/<br>jku-templates-report-latex](https://github.com/michaelroland/jku-templates-report-latex),:unlock:,26,7,:material-update: `2025-01-16`,:material-license: `MPL-2.0`
329,**北京林业大学**,*Beijing Forestry University*,[:simple-github: DeeDive/<br>BJFUThesis](https://github.com/DeeDive/BJFUThesis),:unlock:,26,6,:material-update: `2022-06-21`, 
330,**（德国）慕尼黑工业大学**,*Technical University of Munich*<br>(Technische Universität München),[:simple-github: garrettj403/<br>ThesisPlots](https://github.com/garrettj403/ThesisPlots),:unlock:,26,6,:material-update: `2019-02-18`, 
331,**华北电力大学**,*North China Electric Power University*,[:simple-github: obster-y/<br>NCEPU-thesis](https://github.com/obster-y/NCEPU-thesis),:unlock:,26,6,:material-update: `2021-11-20`,:material-license: `LPPL-1.3c`
332,**浙江大学**,*Zhejiang University*,[:simple-github: denil1111/<br>ZJU-Thesis-Template-for-Mac](https://github.com/denil1111/ZJU-Thesis-Template-for-Mac),:unlock:,26,4,:material-update: `2017-03-27`,:material-license: `MIT`
333,**云南大学**,*Yunnan University*,[:simple-github: Astro-Lee/<br>YNU-thesis-bachelor](https://github.com/Astro-Lee/YNU-thesis-bachelor),:unlock:,26,2,:material-update: `2025-03-07`,:material-license: `MIT`
334,**吉林大学**,*Jilin University*,[:simple-github: jlshen025/<br>JLUThesis](https://github.com/jlshen025/JLUThesis),:unlock:,26,2,:material-update: `2024-04-24`,:material-license: `MIT`
